feature,lag,val_mci,p_value
CBOE Volatility Index | diff_1,1,-0.07622476848297012,9.465929144785897e-08
US 10Y Treasury Yield | log_return,1,-0.07555252256714733,1.2302289873849852e-07
Silver Futures | log_return,1,-0.06174090849445624,1.5507507055451123e-05
U.S. Dollar Index | log_return,1,-0.052889095711092966,0.00021487159733201645
CBOE Volatility Index | diff_1,4,-0.04486468979423351,0.0017023318276127661
ICE BofA MOVE Index | diff_1,2,0.04227603441020997,0.0031108691822031315
US 3M Treasury Yield | diff_1,3,-0.036118111546653134,0.011592428876474015
US 10Y Treasury Yield | diff_1,3,-0.034386432486662545,0.016175333962906976
Copper Futures | log_return,5,0.03324173187867353,0.020093694654370914
US 3M Treasury Yield | diff_1,2,-0.03310127670020166,0.020716698007780268
US 3M Treasury Yield | log_return,3,-0.03308346346824675,0.020733098735056785
S&P 500 | log_return,2,0.030034176860819932,0.03576948889775137
US 3M Treasury Yield | log_return,1,-0.030020193783374394,0.035855686344491385
WTI Crude Oil Futures | log_return,1,0.028450747411539724,0.04674549402704778
