output_file,column_name,raw_source_ticker,source_series,human_readable_meaning,transform_used,units_or_interpretation,feature_role
gold_base_stationary.csv,Date,,Date,Trading date for the observation row.,None,Calendar date in YYYY-MM-DD format.,date
gold_base_stationary.csv,Gold Futures (COMEX) | log_return,GC=F,Gold Futures (COMEX),Daily log return of Gold Futures (COMEX).,Daily log return,"Log return, approximately the daily percent change in decimal units.",gold
gold_base_stationary.csv,U.S. Dollar Index | log_return,DX-Y.NYB,U.S. Dollar Index,Daily log return of U.S. Dollar Index.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary.csv,USD / JPY Exchange Rate | log_return,JPY=X,USD / JPY Exchange Rate,Daily log return of USD / JPY Exchange Rate.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary.csv,S&P 500 | log_return,^GSPC,S&P 500,Daily log return of S&P 500.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary.csv,CBOE Volatility Index | diff_1,^VIX,CBOE Volatility Index,First difference of CBOE Volatility Index.,First difference,One-day change in index points.,predictor
gold_base_stationary.csv,CBOE Volatility Index | log_return,^VIX,CBOE Volatility Index,Daily log return of CBOE Volatility Index.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary.csv,ICE BofA MOVE Index | diff_1,^MOVE,ICE BofA MOVE Index,First difference of ICE BofA MOVE Index.,First difference,One-day change in index points.,predictor
gold_base_stationary.csv,ICE BofA MOVE Index | log_return,^MOVE,ICE BofA MOVE Index,Daily log return of ICE BofA MOVE Index.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary.csv,WTI Crude Oil Futures | log_return,CL=F,WTI Crude Oil Futures,Daily log return of WTI Crude Oil Futures.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary.csv,Silver Futures | log_return,SI=F,Silver Futures,Daily log return of Silver Futures.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary.csv,Copper Futures | log_return,HG=F,Copper Futures,Daily log return of Copper Futures.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary.csv,US 10Y Treasury Yield | diff_1,^TNX,US 10Y Treasury Yield,First difference of US 10Y Treasury Yield.,First difference,One-day change in index points.,predictor
gold_base_stationary.csv,US 10Y Treasury Yield | log_return,^TNX,US 10Y Treasury Yield,Daily log return of US 10Y Treasury Yield.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary.csv,US 3M Treasury Yield | diff_1,^IRX,US 3M Treasury Yield,First difference of US 3M Treasury Yield.,First difference,One-day change in index points.,predictor
gold_base_stationary.csv,US 3M Treasury Yield | log_return,^IRX,US 3M Treasury Yield,Daily log return of US 3M Treasury Yield.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary_dropna.csv,Date,,Date,Trading date for the observation row.,None,Calendar date in YYYY-MM-DD format.,date
gold_base_stationary_dropna.csv,Gold Futures (COMEX) | log_return,GC=F,Gold Futures (COMEX),Daily log return of Gold Futures (COMEX).,Daily log return,"Log return, approximately the daily percent change in decimal units.",gold
gold_base_stationary_dropna.csv,U.S. Dollar Index | log_return,DX-Y.NYB,U.S. Dollar Index,Daily log return of U.S. Dollar Index.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary_dropna.csv,USD / JPY Exchange Rate | log_return,JPY=X,USD / JPY Exchange Rate,Daily log return of USD / JPY Exchange Rate.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary_dropna.csv,S&P 500 | log_return,^GSPC,S&P 500,Daily log return of S&P 500.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary_dropna.csv,CBOE Volatility Index | diff_1,^VIX,CBOE Volatility Index,First difference of CBOE Volatility Index.,First difference,One-day change in index points.,predictor
gold_base_stationary_dropna.csv,CBOE Volatility Index | log_return,^VIX,CBOE Volatility Index,Daily log return of CBOE Volatility Index.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary_dropna.csv,ICE BofA MOVE Index | diff_1,^MOVE,ICE BofA MOVE Index,First difference of ICE BofA MOVE Index.,First difference,One-day change in index points.,predictor
gold_base_stationary_dropna.csv,ICE BofA MOVE Index | log_return,^MOVE,ICE BofA MOVE Index,Daily log return of ICE BofA MOVE Index.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary_dropna.csv,WTI Crude Oil Futures | log_return,CL=F,WTI Crude Oil Futures,Daily log return of WTI Crude Oil Futures.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary_dropna.csv,Silver Futures | log_return,SI=F,Silver Futures,Daily log return of Silver Futures.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary_dropna.csv,Copper Futures | log_return,HG=F,Copper Futures,Daily log return of Copper Futures.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
gold_base_stationary_dropna.csv,US 10Y Treasury Yield | diff_1,^TNX,US 10Y Treasury Yield,First difference of US 10Y Treasury Yield.,First difference,One-day change in index points.,predictor
gold_base_stationary_dropna.csv,US 10Y Treasury Yield | log_return,^TNX,US 10Y Treasury Yield,Daily log return of US 10Y Treasury Yield.,Daily log return,"Log return, approximately the daily percent change in decimal units.",predictor
